event_num,cc,dis,qel,res,xsec
190,True,False,True,False,0.9463533139713427
191,True,False,True,False,1.3835143575042668
192,True,False,True,False,0.19098023543698212
193,True,False,True,False,1.37306639932173
194,True,False,True,False,1.3012360631219222
195,True,False,True,False,0.7549062964584898
196,True,False,True,False,0.2586814112847767
197,True,False,True,False,1.1617651814248606
198,True,False,True,False,1.2747084817424104
199,True,False,True,False,1.3127742539923999
200,True,False,True,False,1.3528838781462114
201,True,False,True,False,1.3174143425502316
202,True,False,True,False,1.2186600073090716
203,True,False,True,False,1.5315802917839827
204,True,False,True,False,1.0821111740504832
205,True,False,True,False,0.607928980378173
206,True,False,True,False,0.5701819100243632
207,True,False,True,False,1.2202243660522982
208,True,False,True,False,0.14497323225450923
209,True,False,True,False,1.251501338669511
210,True,False,True,False,1.0688985024016469
211,True,False,True,False,1.5312082301234284
212,True,False,True,False,0.027956880815220676
213,True,False,True,False,0.9800362668554868
214,True,False,True,False,0.3060230886327125
215,True,False,True,False,0.5507385574158173
216,True,False,True,False,1.2115534075382952
217,True,False,True,False,1.1990913399908245
218,True,False,True,False,1.1094233516506733
219,True,False,True,False,0.2858377932133976
220,True,False,True,False,1.501190554255384
221,True,False,True,False,1.4445894829686716
222,True,False,True,False,0.8887910624684153
223,True,False,True,False,1.1910812648311002
224,True,False,True,False,0.21124440312163728
225,True,False,True,False,0.18291563875990768
226,True,False,True,False,1.2258036386736288
227,True,False,True,False,1.4539966159227609
228,True,False,True,False,1.2220662372784725
229,True,False,True,False,1.3069621118908799
230,True,False,True,False,1.3432170849235936
231,True,False,True,False,1.2665807517957453
232,True,False,True,False,0.03828298784863457
233,True,False,True,False,1.0173437402745085
234,True,False,True,False,1.4701812067198206
235,True,False,True,False,0.9648894333529383
236,True,False,True,False,1.4970353912731797
237,True,False,True,False,0.01998149149940836
238,True,False,True,False,0.268412516338916
239,True,False,True,False,0.5926957745513867
240,True,False,True,False,0.8404643105705778
241,True,False,True,False,1.2603587565425218
242,True,False,True,False,0.6970064241800387
243,True,False,True,False,1.4738312465559733
244,True,False,True,False,0.3738791757899542
245,True,False,True,False,1.2753838109310611
246,True,False,True,False,1.3879537012860113
