# pdg,pid,reco_coszen,reco_energy,true_energy,true_coszen,weight
13,1,-0.900,15.6,238.028612,0.504105,2.866072e-08
13,1,0.500,27.7,353.205623,0.561958,2.782706e-08
13,0,0.700,15.6,238.082461,0.664135,3.782433e-08
13,1,0.700,27.7,269.186641,0.632938,3.338174e-08
13,1,0.900,49.2,290.764459,0.673928,4.333081e-08
13,1,0.300,27.7,240.737364,0.659314,3.851290e-08
13,1,0.500,49.2,260.048891,0.468815,1.790853e-08
13,1,0.700,36.9,216.128352,0.376581,8.926413e-09
13,1,0.700,27.7,235.652033,0.653757,3.020485e-08
13,1,0.500,15.6,211.456523,0.529339,3.357386e-08
13,1,0.900,27.7,223.875529,0.423401,1.780746e-08
13,0,-0.100,20.7,323.505226,0.836143,5.446289e-08
13,0,0.900,11.7,214.757794,0.475861,2.473446e-08
13,0,0.100,20.7,237.502207,0.446049,2.620684e-08
13,0,-0.300,15.6,255.912420,0.679219,4.118306e-08
13,0,-0.500, 8.7,264.493973,0.536741,2.759172e-08
13,0,0.900,27.7,233.772412,0.577330,3.104338e-08
13,0,0.700,20.7,362.167301,0.582994,2.471251e-08
13,1,0.700,49.2,379.154549,0.611237,3.439241e-08
13,0,-0.100,15.6,192.138620,0.601451,2.788836e-08
13,0,-0.100,11.7,210.469431,0.350941,1.647224e-08
13,0,-0.500,27.7,195.749696,0.431421,2.392751e-08
13,1,0.500,49.2,370.934447,0.585441,2.768771e-08
13,0,0.700,20.7,321.032306,0.838492,6.940932e-08
13,1,-0.700,15.6,353.341935,0.301687,1.590182e-08
13,1,0.500,49.2,299.721141,0.607469,3.668791e-08
13,1,-0.700,15.6,191.384684,0.426034,2.015807e-08
13,1,-0.100,49.2,196.109671,0.492839,2.855944e-08
13,1,0.300,27.7,233.147032,0.459104,2.349084e-08
13,0,0.700,11.7,277.157031,0.727368,5.331987e-08
13,0,0.900,15.6,220.067693,0.578426,3.556702e-08
13,0,0.500,20.7,234.226286,0.547691,3.042250e-08
13,1,0.900,36.9,395.130801,0.567175,2.702275e-08
