event_num,pdg,E,px,py,pz,polx,poly,polz
338,15,5.04128,-0.80057,-0.128997,4.64754,0.169693,0.0273429,-0.985118
341,16,10,0,0,10,0,0,0
341,1000080160,14.8951,0,0,0,0,0,0
341,15,4.57634,-0.0486749,0.582975,4.17653,0.0115417,-0.138234,-0.990332
343,16,10,0,0,10,0,0,0
343,1000080160,14.8951,0,0,0,0,0,0
343,15,8.60082,-0.357459,0.484255,8.39373,0.0424774,-0.0575447,-0.997439
344,16,10,0,0,10,0,0,0
344,1000080160,14.8951,0,0,0,0,0,0
344,15,3.82589,-0.33917,0.726328,3.29205,0.100102,-0.214367,-0.97161
345,16,10,0,0,10,0,0,0
345,1000080160,14.8951,0,0,0,0,0,0
345,15,6.65779,-1.51316,-0.00159033,6.23533,0.23583,0.000247858,-0.971794
348,16,10,0,0,10,0,0,0
348,1000080160,14.8951,0,0,0,0,0,0
348,15,8.25853,1.13888,0.446847,7.97179,-0.141211,-0.055405,-0.988428
349,16,10,0,0,10,0,0,0
349,1000080160,14.8951,0,0,0,0,0,0
349,15,8.21072,0.158711,-0.29523,8.00914,-0.0197989,0.0368294,-0.999125
350,16,10,0,0,10,0,0,0
350,1000080160,14.8951,0,0,0,0,0,0
350,15,9.50073,-0.131074,0.640673,9.31015,0,0,0
357,16,10,0,0,10,0,0,0
357,1000080160,14.8951,0,0,0,0,0,0
357,15,9.63243,-0.0833481,0.153524,9.46552,0.00880394,-0.0162166,-0.99983
358,16,10,0,0,10,0,0,0
358,1000080160,14.8951,0,0,0,0,0,0
358,15,9.23247,0.399932,-0.682821,9.02524,-0.0441433,0.0753676,-0.996178
364,16,10,0,0,10,0,0,0
364,1000080160,14.8951,0,0,0,0,0,0
364,15,8.98972,0.833196,0.402391,8.76366,-0.0945485,-0.045662,-0.994473
365,16,10,0,0,10,0,0,0
365,1000080160,14.8951,0,0,0,0,0,0
365,15,7.63099,-0.0860694,-0.811263,7.37626,0.0115977,0.109316,-0.993939
369,16,10,0,0,10,0,0,0
369,1000080160,14.8951,0,0,0,0,0,0
369,15,8.98343,-0.922338,-0.47886,8.74441,0,0,0
374,16,10,0,0,10,0,0,0
374,1000080160,14.8951,0,0,0,0,0,0
374,15,7.11373,1.00415,0.262526,6.8096,-0.145778,-0.0381121,-0.988583
376,16,10,0,0,10,0,0,0
376,1000080160,14.8951,0,0,0,0,0,0
376,15,9.11268,0.0050703,0.207503,8.93536,-0.000567289,-0.0232164,-0.99973
379,16,10,0,0,10,0,0,0
379,1000080160,14.8951,0,0,0,0,0,0
379,15,7.53075,-0.483682,0.580041,7.27905,0.0660937,-0.079261,-0.99466
380,16,10,0,0,10,0,0,0
380,1000080160,14.8951,0,0,0,0,0,0
380,15,7.14181,0.489923,0.413969,6.88744,-0.0708264,-0.059846,-0.995692
381,16,10,0,0,10,0,0,0
381,1000080160,14.8951,0,0,0,0,0,0
